symbol,date,outcome,mg_outcome,readiness,behav_score,score,fwd_max_gain,mg_pre_stop,exploded,entry,raw_pit_entry,drop_pct,best_spike,rr,h4_bars,h4_reversal,h4_rsi,h4_status,h4_asof,h4_timezone,h4_resample,h4_1h_bars,h4_1h_first,h4_1h_last,h4_first_bar,h4_last_bar,h4_source,forward_window_start,forward_window_end,outcome_complete,signal_price_raw_pit,entry_adjusted_exact,raw_pit_entry_exact,post_signal_split_factor,split_lookup_status
SLXN,2025-10-03,loss,stopped,80,35,85,6.3,6.3,False,33.48,3.348,93.8,1560.0,4.140388104683699,291,False,54.5,ok,2025-10-03,America/New_York,4h,1052,2025-06-05 08:00:00-04:00,2025-10-03 19:00:00-04:00,2025-06-05 08:00:00-04:00,2025-10-03 16:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-10-06,2025-12-01,True,3.93,33.47666666666667,3.347666666666667,0.1,corrected
STRZ,2025-11-24,win,survived,70,25,65,31.6,31.6,False,9.9,,52.3,101.0,2.181364187713591,257,False,52.4,ok,2025-11-24,America/New_York,4h,777,2025-07-28 09:00:00-04:00,2025-11-24 18:00:00-05:00,2025-07-28 08:00:00-04:00,2025-11-24 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-11-25,2026-01-23,True,10.95,9.899999999999999,9.899999999999999,1.0,frozen_no_split_events
TECX,2025-10-03,win,survived,60,42,70,75.4,75.4,True,14.82,14.82,75.0,1138.0,1.9620125418849919,259,False,48.9,ok,2025-10-03,America/New_York,4h,839,2025-06-05 09:30:00-04:00,2025-10-03 18:00:00-04:00,2025-06-05 08:00:00-04:00,2025-10-03 16:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-10-06,2025-12-01,True,15.24,14.82,14.82,1.0,no_post_signal_split
TNON,2025-01-07,loss,stopped,70,48,100,8.7,8.7,False,1.72,1.72,86.7,152.0,3.535050083353273,319,False,51.7,ok,2025-01-07,America/New_York,4h,1223,2024-09-09 04:00:00-04:00,2025-01-07 18:00:00-05:00,2024-09-09 04:00:00-04:00,2025-01-07 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-01-08,2025-03-07,True,2.105,1.72,1.72,1.0,no_post_signal_split
TRUG,2025-07-17,loss,stopped,60,51,75,15.0,15.0,False,51.5,5.15,92.0,123.0,3.5,292,False,57.6,ok,2025-07-17,America/New_York,4h,1096,2025-03-19 08:00:00-04:00,2025-07-17 19:00:00-04:00,2025-03-19 08:00:00-04:00,2025-07-17 16:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-07-18,2025-09-12,True,5.9,51.5,5.15,0.1,corrected
TSSI,2025-12-22,win,survived,60,54,85,78.3,78.3,True,7.13,,75.7,184.0,2.0881338539172396,331,False,53.0,ok,2025-12-22,America/New_York,4h,1268,2025-08-25 04:00:00-04:00,2025-12-22 18:00:00-05:00,2025-08-25 04:00:00-04:00,2025-12-22 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-12-23,2026-02-20,True,7.75,7.13,7.13,1.0,frozen_no_split_events
TTD,2025-09-26,loss,stopped,60,5,70,3.6,2.5,False,44.39,,66.7,67.0,2.460779181956828,334,True,57.3,ok,2025-09-26,America/New_York,4h,1402,2025-05-29 04:00:00-04:00,2025-09-26 19:00:00-04:00,2025-05-29 04:00:00-04:00,2025-09-26 16:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-09-29,2025-11-21,True,47.139999,44.39333333333334,44.39333333333334,1.0,frozen_no_split_events
TTD,2025-12-22,loss,stopped,50,5,55,2.9,2.9,False,36.72,,71.4,67.0,1.4556169024312053,334,False,48.5,ok,2025-12-22,America/New_York,4h,1366,2025-08-25 04:00:00-04:00,2025-12-22 18:00:00-05:00,2025-08-25 04:00:00-04:00,2025-12-22 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-12-23,2026-02-20,True,37.290001,36.72,36.72,1.0,frozen_no_split_events
TVRD,2025-11-21,win,survived,60,19,70,25.6,25.6,False,3.89,3.89,91.0,104.0,1.0762105619600764,273,True,47.2,ok,2025-11-21,America/New_York,4h,868,2025-07-24 08:00:00-04:00,2025-11-21 16:00:00-05:00,2025-07-24 08:00:00-04:00,2025-11-21 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-11-24,2026-01-22,True,3.92,3.893333333333333,3.893333333333333,1.0,no_post_signal_split
UPLD,2025-04-28,loss,stopped,60,27,60,5.1,0.0,False,21.12,2.112,57.8,110.0,2.5263440074084853,255,True,54.3,ok,2025-04-28,America/New_York,4h,805,2024-12-30 08:00:00-05:00,2025-04-28 19:00:00-04:00,2024-12-30 08:00:00-05:00,2025-04-28 17:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-04-29,2025-06-25,True,2.38,21.11666666666667,2.1116666666666672,0.1,corrected
UPLD,2025-06-25,win,survived,60,25,75,124.6,124.6,True,17.41,1.741,68.4,110.0,1.345386472569972,278,False,41.0,ok,2025-06-25,America/New_York,4h,842,2025-02-25 09:30:00-05:00,2025-06-25 16:00:00-04:00,2025-02-25 08:00:00-05:00,2025-06-25 13:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-06-26,2025-08-21,True,1.78,17.406666666666666,1.7406666666666668,0.1,corrected
VERU,2025-12-01,open,survived,70,36,85,30.7,30.7,False,2.17,2.17,82.9,103.0,3.2545008648721487,271,False,50.7,ok,2025-12-01,America/New_York,4h,951,2025-08-04 08:00:00-04:00,2025-12-01 16:00:00-05:00,2025-08-04 08:00:00-04:00,2025-12-01 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-12-02,2026-01-29,True,2.43,2.1733333333333333,2.1733333333333333,1.0,no_post_signal_split
VIR,2025-04-21,loss,stopped,50,6,55,10.9,9.2,False,5.1,,61.2,74.0,3.121851855458677,287,False,51.4,ok,2025-04-21,America/New_York,4h,933,2024-12-23 09:00:00-05:00,2025-04-21 19:00:00-04:00,2024-12-23 08:00:00-05:00,2025-04-21 17:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-04-22,2025-06-17,True,5.61,5.1000000000000005,5.1000000000000005,1.0,frozen_no_split_events
VRCA,2025-10-17,loss,stopped,55,14,70,142.5,1.2,True,4.05,4.05,76.1,82.0,1.1389523429788482,264,True,49.5,ok,2025-10-17,America/New_York,4h,851,2025-06-20 09:00:00-04:00,2025-10-17 16:00:00-04:00,2025-06-20 08:00:00-04:00,2025-10-17 16:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-10-20,2025-12-15,True,4.15,4.05,4.05,1.0,no_post_signal_split
WBUY,2025-08-28,loss,stopped,60,83,95,27.7,27.7,False,2.82,2.82,95.5,466.0,2.980132547576545,274,False,49.7,ok,2025-08-28,America/New_York,4h,1051,2025-05-12 04:00:00-04:00,2025-08-28 19:00:00-04:00,2025-05-12 04:00:00-04:00,2025-08-28 16:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-08-29,2025-10-24,True,3.15,2.8200000000000003,2.8200000000000003,1.0,no_post_signal_split
WIMI,2025-12-01,loss,stopped,70,26,75,11.6,11.6,False,2.75,2.75,90.0,202.0,2.023230211895839,292,True,53.3,ok,2025-12-01,America/New_York,4h,1052,2025-08-04 05:00:00-04:00,2025-12-01 17:00:00-05:00,2025-08-04 04:00:00-04:00,2025-12-01 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-12-02,2026-01-29,True,2.92,2.75,2.75,1.0,no_post_signal_split
WOOF,2025-03-21,no_fill,no_fill,60,33,45,0.0,,False,2.35,,61.2,159.0,1.8728220826169895,,,,,,,,,,,,,,2025-03-24,2025-05-19,True,2.44,2.35,2.35,1.0,frozen_no_split_events
WRD,2025-12-01,no_fill,no_fill,70,28,85,0.0,,False,7.02,,80.7,215.0,3.9175857579305022,,,,,,,,,,,,,,2025-12-02,2026-01-29,True,8.5,7.023333333333333,7.023333333333333,1.0,frozen_no_split_events
XFOR,2025-05-27,loss,stopped,80,39,85,9.1,8.4,False,2.75,2.75,90.0,175.0,4.158862102230335,335,False,64.5,ok,2025-05-27,America/New_York,4h,1089,2025-01-27 07:00:00-05:00,2025-05-27 18:00:00-04:00,2025-01-27 04:00:00-05:00,2025-05-27 17:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2025-05-28,2025-07-24,True,3.39,2.75,2.75,1.0,no_post_signal_split
