year,symbol,date,entry,stop,t1,outcome,ret_a,tier,n_soft,readiness,behav_score,score,fwd_max_gain,max_draw_pct,exploded,mg_outcome,mg_pre_stop,mg_peak_day,entry_model,fill_reason_sweep,outcome_sweep,entry_sweep,ret_sweep_a,price_bucket,killed_explosion
2025,PRCH,2025-11-28,9.07,8.19,11.0,loss,-9.7,B,2,50,54,70,9.9,-15.4,False,stopped,9.9,16.0,sweep_confirmed,sweep_no_reclaim,sweep_no_reclaim,,,5-15,0
2025,PTLO,2025-09-18,6.18,5.58,7.0,loss,-9.7,B,3,70,5,65,10.5,-25.0,False,stopped,10.5,8.0,sweep_confirmed,sweep_no_reclaim,sweep_no_reclaim,,,5-15,0
2025,QTTB,2025-01-14,3.08,2.78,3.39,win,10.1,B,3,55,29,65,16.2,-41.6,False,stopped,16.2,6.0,sweep_confirmed,sweep_no_reclaim,sweep_no_reclaim,,,2-5,0
2025,QTTB,2025-03-20,1.85,1.67,2.29,loss,-9.7,B,2,70,26,75,16.0,-25.5,False,stopped,0.0,0.0,sweep_confirmed,rr_too_low,rr_too_low,2.08,,<2,0
2025,QURE,2025-12-19,19.87,17.94,26.95,no_fill,,B,2,60,77,95,0.0,0.0,False,no_fill,,,sweep_confirmed,no_sweep,no_sweep,,,>15,0
2025,RAIL,2025-04-17,4.44,4.01,6.05,no_fill,,B,3,60,27,70,0.0,0.0,False,no_fill,,,sweep_confirmed,no_sweep,no_sweep,,,2-5,0
2025,RAY,2025-10-14,6.59,5.95,8.0,loss,-9.7,B,3,70,85,80,11.7,-78.7,False,stopped,9.3,1.0,sweep_confirmed,sweep_no_reclaim,sweep_no_reclaim,,,5-15,0
2025,RTB,2025-08-06,9.01,8.14,12.6,no_fill,,B,3,50,41,85,0.0,0.0,False,no_fill,,,sweep_confirmed,no_sweep,no_sweep,,,5-15,0
2025,RZLT,2025-04-17,2.28,2.06,3.0,no_fill,,B,3,60,21,60,0.0,0.0,False,no_fill,,,sweep_confirmed,no_sweep,no_sweep,,,2-5,0
2025,RZLV,2025-12-12,2.5,2.26,2.98,win,19.0,B,3,50,65,65,98.5,-12.5,True,stopped,39.0,2.0,sweep_confirmed,no_sweep,no_sweep,,,2-5,1
2025,SATL,2025-11-28,1.29,1.17,1.84,no_fill,,B,3,60,33,70,0.0,0.0,False,no_fill,,,sweep_confirmed,no_sweep,no_sweep,,,<2,0
2025,SEZL,2025-09-11,84.73,76.5,98.2,loss,-9.7,B,3,60,55,75,5.0,-32.2,False,stopped,3.4,9.0,sweep_confirmed,sweep_no_reclaim,sweep_no_reclaim,,,>15,0
2025,SHFS,2025-12-05,1.26,1.13,2.06,loss,-9.7,B,2,70,65,100,24.9,-26.0,False,stopped,0.0,0.0,sweep_confirmed,filled,loss,1.22,-7.0,<2,0
2025,SLXN,2025-10-09,33.48,30.22,46.94,loss,-9.7,B,2,70,35,85,6.3,-36.4,False,stopped,6.3,3.0,sweep_confirmed,sweep_no_reclaim,sweep_no_reclaim,,,>15,0
2025,STRZ,2025-11-24,9.9,8.94,12.0,win,21.2,B,3,70,25,65,31.6,-0.2,False,survived,31.6,5.0,sweep_confirmed,no_sweep,no_sweep,,,5-15,0
2025,TECX,2025-10-02,14.82,13.38,17.64,win,19.0,B,3,60,42,70,75.4,-1.5,True,survived,75.4,18.0,sweep_confirmed,no_sweep,no_sweep,,,5-15,0
2025,TNXP,2025-10-02,24.31,21.95,28.0,loss,-9.7,B,3,60,67,80,4.5,-43.6,False,stopped,1.5,1.0,sweep_confirmed,sweep_no_reclaim,sweep_no_reclaim,,,>15,0
2025,TONX,2025-10-02,6.7,6.04,7.97,loss,-9.7,B,2,60,48,100,5.2,-59.2,False,stopped,0.0,0.0,sweep_confirmed,sweep_no_reclaim,sweep_no_reclaim,,,5-15,0
2025,TTD,2025-09-25,44.39,40.08,55.0,loss,-9.7,B,3,60,5,70,3.6,-13.8,False,stopped,2.5,3.0,sweep_confirmed,sweep_no_reclaim,sweep_no_reclaim,,,>15,0
