symbol,date,outcome,mg_outcome,readiness,behav_score,score,fwd_max_gain,mg_pre_stop,exploded,entry,raw_pit_entry,drop_pct,best_spike,rr,h4_bars,h4_reversal,h4_rsi,h4_status,h4_asof,h4_timezone,h4_resample,h4_1h_bars,h4_1h_first,h4_1h_last,h4_first_bar,h4_last_bar,h4_source,forward_window_start,forward_window_end,outcome_complete,signal_price_raw_pit,entry_adjusted_exact,raw_pit_entry_exact,post_signal_split_factor,split_lookup_status
FGNX,2026-03-20,loss,stopped,60,55,75,6.7,2.4,False,6.72,6.72,96.7,147.0,1.8883784512376296,264,False,45.1,ok,2026-03-20,America/New_York,4h,856,2025-11-20 08:00:00-05:00,2026-03-20 16:00:00-04:00,2025-11-20 08:00:00-05:00,2026-03-20 13:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-03-23,2026-05-18,True,6.81,6.716666666666666,6.716666666666666,1.0,no_post_signal_split
FRMM,2026-01-22,loss,stopped,60,44,100,7.4,4.5,False,4.84,4.84,97.0,1116.0,1.918975820054373,,,,no_1h_data,,,,,,,,,,2026-01-23,2026-03-20,True,5.27,4.84,4.84,1.0,no_post_signal_split
GALT,2026-02-05,win,stopped,50,28,45,23.1,23.1,False,2.84,,60.3,165.0,1.1815551158068163,259,False,41.5,ok,2026-02-05,America/New_York,4h,914,2025-10-08 06:00:00-04:00,2026-02-05 16:00:00-05:00,2025-10-08 04:00:00-04:00,2026-02-05 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-02-06,2026-04-06,True,2.83,2.8433333333333333,2.8433333333333333,1.0,frozen_no_split_events
GEOS,2026-02-27,open,survived,50,38,55,22.5,22.5,False,8.86,,69.3,226.0,2.3317875025996493,261,True,43.1,ok,2026-02-27,America/New_York,4h,932,2025-10-30 08:00:00-04:00,2026-02-27 17:00:00-05:00,2025-10-30 08:00:00-04:00,2026-02-27 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-03-02,2026-04-27,True,9.17,8.86,8.86,1.0,frozen_no_split_events
GNLX,2026-01-29,loss,stopped,55,30,65,16.6,0.0,False,2.59,,67.9,147.0,1.5989783998338647,259,False,41.1,ok,2026-01-29,America/New_York,4h,857,2025-10-01 08:00:00-04:00,2026-01-29 18:00:00-05:00,2025-10-01 08:00:00-04:00,2026-01-29 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-01-30,2026-03-27,True,2.74,2.5933333333333333,2.5933333333333333,1.0,frozen_no_split_events
HERE,2026-04-06,loss,stopped,50,67,65,2.8,0.0,False,2.98,,77.5,186.0,3.54083164514415,250,True,54.9,ok,2026-04-06,America/New_York,4h,754,2025-12-08 08:00:00-05:00,2026-04-06 16:00:00-04:00,2025-12-08 08:00:00-05:00,2026-04-06 13:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-04-07,2026-06-02,True,3.52,2.9766666666666666,2.9766666666666666,1.0,frozen_no_split_events
HIVE,2026-02-27,win,stopped,50,27,55,34.1,15.1,False,2.05,,72.7,114.0,1.3547416558727325,325,False,47.1,ok,2026-02-27,America/New_York,4h,1222,2025-10-30 04:00:00-04:00,2026-02-27 18:00:00-05:00,2025-10-30 04:00:00-04:00,2026-02-27 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-03-02,2026-04-27,True,2.14,2.0500000000000003,2.0500000000000003,1.0,frozen_no_split_events
HOOD,2026-02-27,loss,stopped,60,5,70,30.9,4.6,False,71.3,,50.7,61.0,1.9796452301180218,328,False,47.1,ok,2026-02-27,America/New_York,4h,1304,2025-10-30 04:00:00-04:00,2026-02-27 18:00:00-05:00,2025-10-30 04:00:00-04:00,2026-02-27 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-03-02,2026-04-27,True,75.849998,71.29666666666667,71.29666666666667,1.0,frozen_no_split_events
JANX,2026-01-07,loss,stopped,65,5,95,13.4,13.4,False,13.66,,77.3,66.0,1.4455656585629113,290,True,53.6,ok,2026-01-07,America/New_York,4h,1029,2025-09-09 08:00:00-04:00,2026-01-07 18:00:00-05:00,2025-09-09 08:00:00-04:00,2026-01-07 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-01-08,2026-03-06,True,13.98,13.660000000000002,13.660000000000002,1.0,frozen_no_split_events
JFIN,2026-01-07,open,survived,70,29,70,13.6,13.6,False,5.9,,63.7,110.0,2.4864297743042227,271,False,62.5,ok,2026-01-07,America/New_York,4h,866,2025-09-09 09:00:00-04:00,2026-01-07 16:00:00-05:00,2025-09-09 08:00:00-04:00,2026-01-07 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-01-08,2026-03-06,True,6.67,5.900000000000001,5.900000000000001,1.0,frozen_no_split_events
