symbol,date,outcome,mg_outcome,readiness,behav_score,score,fwd_max_gain,mg_pre_stop,exploded,entry,raw_pit_entry,drop_pct,best_spike,rr,h4_bars,h4_reversal,h4_rsi
TNON,2025-01-07,loss,stopped,70,48,100,8.7,8.7,False,1.72,1.72,86.7,152.0,3.535050083353273,319,False,51.7
TRUG,2025-07-17,loss,stopped,60,51,75,15.0,15.0,False,51.5,5.15,92.0,123.0,3.5,292,False,57.8
TSSI,2025-12-22,win,survived,60,54,85,78.3,78.3,True,7.13,,75.7,184.0,2.0881338539172396,332,False,53.0
TTD,2025-09-26,loss,stopped,60,5,70,3.6,2.5,False,44.39,,66.7,67.0,2.460779181956828,335,True,57.2
TTD,2025-12-22,loss,stopped,50,5,55,2.9,2.9,False,36.72,,71.4,67.0,1.4556169024312053,335,False,48.5
TVRD,2025-11-21,win,survived,60,19,70,25.6,25.6,False,3.89,3.89,91.0,104.0,1.0762105619600764,273,True,47.3
UPLD,2025-04-28,loss,stopped,60,27,60,5.1,0.0,False,21.12,2.112,57.8,110.0,2.5263440074084853,255,True,54.3
UPLD,2025-06-25,win,survived,60,25,75,124.6,124.6,True,17.41,1.741,68.4,110.0,1.345386472569972,274,False,41.1
VERU,2025-12-01,open,survived,70,36,85,30.7,30.7,False,2.17,2.17,82.9,103.0,3.2545008648721487,271,False,50.7
VIR,2025-04-21,loss,stopped,50,6,55,10.9,9.2,False,5.1,,61.2,74.0,3.121851855458677,287,False,51.4
VRCA,2025-10-17,loss,stopped,55,14,70,142.5,1.2,True,4.05,4.05,76.1,82.0,1.1389523429788482,263,True,49.4
WBUY,2025-08-28,loss,stopped,60,83,95,27.7,27.7,False,2.82,2.82,95.5,466.0,2.980132547576545,274,False,49.7
WIMI,2025-12-01,loss,stopped,70,26,75,11.6,11.6,False,2.75,2.75,90.0,202.0,2.023230211895839,292,True,53.8
WOOF,2025-03-21,no_fill,no_fill,60,33,45,0.0,,False,2.35,,61.2,159.0,1.8728220826169895,,,
WRD,2025-12-01,no_fill,no_fill,70,28,85,0.0,,False,7.02,,80.7,215.0,3.9175857579305022,,,
XFOR,2025-05-27,loss,stopped,80,39,85,9.1,8.4,False,2.75,2.75,90.0,175.0,4.158862102230335,334,False,63.9
